标题,个人评分,打分日期,我的短评,出版日期,作者,条目链接
"牛虻","5","2021/01/30","","2011/5/1","[英]埃塞尔·莉莲·伏尼契","https://book.douban.com/subject/6313454/"
"日瓦戈医生","5","2021/01/30","","2006/1/1","〔苏〕鲍里斯·帕斯捷尔纳克","https://book.douban.com/subject/1469878/"
"刚多林的陷落","5","2021/01/30","","2020/4","[英] J. R. R. 托尔金","https://book.douban.com/subject/34954100/"
"乌鸦","5","2021/01/30","","2017/12","[美] 埃德加·爱伦·坡","https://book.douban.com/subject/27181925/"
"分成两半的子爵","5","2021/01/30","","2012/4/1","[意] 伊塔洛·卡尔维诺","https://book.douban.com/subject/10555486/"
"树上的男爵","5","2021/01/30","","2012/4/1","[意大利]伊塔洛·卡尔维诺","https://book.douban.com/subject/6789605/"
"不存在的骑士","5","2021/01/30","","2012/4","[意] 伊塔洛·卡尔维诺","https://book.douban.com/subject/6789551/"
"马可瓦尔多","5","2021/01/30","","2020/1","[意] 伊塔洛·卡尔维诺","https://book.douban.com/subject/34799583/"
"沙之书","5","2021/01/30","","2015/7","[阿根廷] 豪·路·博尔赫斯","https://book.douban.com/subject/25796049/"
"小径分岔的花园","5","2021/01/30","","2015/7","[阿根廷] 豪·路·博尔赫斯","https://book.douban.com/subject/25796120/"
"深沉的玫瑰","5","2021/01/30","","2016/8","[阿根廷] 博尔赫斯","https://book.douban.com/subject/26671810/"
"高老头","5","2021/01/30","","1963/3","[法] 巴尔扎克","https://book.douban.com/subject/1987986/"
"阅微草堂笔记","4","2021/01/30","","2005/01/08","（清）纪昀","https://book.douban.com/subject/1626883/"
"白痴","5","2021/01/30","","2014/3/1","[俄] 陀思妥耶夫斯基","https://book.douban.com/subject/25773651/"
"纯真年代","4","2021/01/30","","2017/1","伊迪丝·华顿 (Edith Wharton)","https://book.douban.com/subject/26863403/"
"喧哗与骚动","5","2021/01/30","","2004/08","(美)威廉﹒福克纳","https://book.douban.com/subject/1052074/"
"我弥留之际","5","2021/01/30","","2004/4/1","福克纳","https://book.douban.com/subject/1082946/"
"2081","4","2021/01/30","","2019/4","[美] 库尔特·冯内古特","https://book.douban.com/subject/30282302/"
"荒原狼","5","2021/01/30","","2008/7","[德]赫尔曼·黑塞","https://book.douban.com/subject/3131626/"
"十日谈","4","2020/10/22","","2015/4/10","[意] 薄伽丘","https://book.douban.com/subject/25897666/"
"追忆似水年华","5","2020/10/22","重读。深感技法之高超和写法之创新。可惜翻译实在太烂了，且不说本文完全不符中文行文，就那少数引用的拉丁原文也几乎过半有拼写错误，以及翻译问题","2012/6","[法] 马塞尔·普鲁斯特","https://book.douban.com/subject/10779650/"
"虹","3","2020/10/22","","2006/8","[英]D·H·劳伦斯","https://book.douban.com/subject/1858493/"
"The Magicians","3","2020/01/19","","2009/8/11","Lev Grossman","https://book.douban.com/subject/3752662/"
"The Magician King","5","2020/01/19","","2011/8/9","Lev Grossman","https://book.douban.com/subject/6717682/"
"The Magician's Land","5","2020/01/19","","2014/8/5","Lev Grossman","https://book.douban.com/subject/25892188/"
"柠檬","4","2020/01/13","","2019/4","(日)梶井基次郎","https://book.douban.com/subject/30394967/"
"尼古拉·果戈理","4","2020/01/13","","2010/12","(美) 纳博科夫","https://book.douban.com/subject/5326869/"
"萨拉戈萨手稿","4","2020/01/13","","2019/11","[波兰] 扬·波托茨基","https://book.douban.com/subject/34808267/"
"到婚礼去","4","2020/01/13","","2019/10","[英] 约翰·伯格","https://book.douban.com/subject/34779922/"
"恐妻家","4","2020/01/13","","2019/11","[日] 伊坂幸太郎","https://book.douban.com/subject/34778578/"
"13只钟","4","2020/01/01","","2012/9","(美)詹姆斯·瑟伯","https://book.douban.com/subject/10736308/"
"平静的生活","4","2020/01/01","","2014/5","[法] 玛格丽特·杜拉斯","https://book.douban.com/subject/25862381/"
"雨季不再来","5","2020/01/01","","2009/3","三毛","https://book.douban.com/subject/3604520/"
"全息玫瑰碎片","4","2020/01/01","","2014/3","[加]威廉·吉布森","https://book.douban.com/subject/25808977/"
"时间回旋","4","2020/01/01","","2008/4","[加] 罗伯特·查尔斯·威尔森","https://book.douban.com/subject/3041463/"
"时间旋涡","3","2020/01/01","","2012/8/30","(加)罗伯特·查尔斯·威尔森","https://book.douban.com/subject/10732280/"
"时间轴","3","2020/01/01","","2011/1","[加] 罗伯特·查尔斯·威尔森","https://book.douban.com/subject/5355324/"
"假尼禄","4","2020/01/01","","1982/1","(德)孚希特万格","https://book.douban.com/subject/2254131/"
"咒语","4","2020/01/01","","2018/7/1","[美] 库尔特·冯内古特","https://book.douban.com/subject/30234414/"
"草疯长","4","2019/12/30","","2016/10","[日] 今村昌平","https://book.douban.com/subject/26840568/"
"维特根斯坦的侄子","4","2019/12/30","","2014/6","[奥] 托马斯·伯恩哈德","https://book.douban.com/subject/25870785/"
"夜莺与玫瑰","5","2019/12/30","","2015/4","[英] 奥斯卡·王尔德","https://book.douban.com/subject/26344078/"
"火的女儿","4","2019/12/22","","2011/6","[法] 奈瓦尔","https://book.douban.com/subject/6110483/"
"我青春漫遊的時代","4","2019/12/22","","2013/10","三島由紀夫","https://book.douban.com/subject/25702556/"
"潮骚","4","2019/12/22","","2009/1","（日）三岛由纪夫","https://book.douban.com/subject/3391246/"
"白象似的群山","4","2019/12/22","","2015/8/1","【美】海明威 等","https://book.douban.com/subject/26641211/"
"来日方长","4","2019/12/22","","2013/5","[法]路易·阿尔都塞","https://book.douban.com/subject/24298157/"
"傳奇之劍","4","2019/11/02","","2013/10/15","泰瑞．布魯克斯","https://book.douban.com/subject/25740150/"
"奇幻精靈石","4","2019/11/02","","2013/11/20","泰瑞．布魯克斯","https://book.douban.com/subject/25765262/"
"希望之歌","4","2019/11/02","","2014/2/20","泰瑞．布魯克斯","https://book.douban.com/subject/25827498/"
"流言","5","2019/11/01","","2009/6","张爱玲","https://book.douban.com/subject/3733081/"
"曼斯菲尔德庄园","4","2019/11/01","","2006/3","奥斯丁","https://book.douban.com/subject/1755545/"
"春雪","4","2019/11/01","","2014/3","三岛由纪夫","https://book.douban.com/subject/25769962/"
"少年维特的烦恼 亲和力","4","2019/11/01","","1995/08/01","歌德","https://book.douban.com/subject/1645153/"
"暗店街 夜巡","4","2019/10/30","","2008/4","[法]莫狄阿诺","https://book.douban.com/subject/3058357/"
"大卫·科波菲尔（上下）","4","2019/10/29","","2003/03","狄更斯","https://book.douban.com/subject/1014144/"
"欧·亨利小说全集（全四卷）","4","2019/10/29","","2005/1/1","欧·亨利","https://book.douban.com/subject/1195054/"
"莫泊桑小说全集（全9卷）","4","2019/10/29","","1996/9/1","莫泊桑","https://book.douban.com/subject/1656062/"
"卡夫卡全集（全10卷）","4","2019/10/29","","1996/12","[奥地利] 弗朗茨·卡夫卡","https://book.douban.com/subject/1430657/"
"加缪全集（全四册）","4","2019/10/29","","2002/5","柳鸣九","https://book.douban.com/subject/1082469/"
"费·陀思妥耶夫斯基全集（全22卷）","4","2019/10/29","","2010/1","陈燊 主编","https://book.douban.com/subject/5247161/"
"雪莱全集（全7卷）","4","2019/10/29","","2000/12/1","雪莱","https://book.douban.com/subject/1435617/"
"普希金全集","4","2019/10/29","","2001/5/1","普希金","https://book.douban.com/subject/1597284/"
"失乐园","4","2019/10/29","","1984/11","弥尔顿","https://book.douban.com/subject/2032523/"
"暗水","4","2019/10/28","","2012/12","(美)乔·R.兰斯代尔","https://book.douban.com/subject/19954843/"
"永别了，武器","4","2019/10/28","","2016/8","[美]欧内斯特·海明威","https://book.douban.com/subject/27026357/"
"甘地传","4","2019/10/28","","1997/05","米歇尔.尼科尔森","https://book.douban.com/subject/1039634/"
"加缪传","4","2019/10/28","","2018/1","[美] 赫伯特·R.洛特曼","https://book.douban.com/subject/27124027/"
"莎士比亚书店","4","2019/10/28","","2014/2","[美]西尔维亚·比奇","https://book.douban.com/subject/25798592/"
"陆小凤传奇","5","2019/10/28","","2005/8","古龙","https://book.douban.com/subject/1089512/"
